detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9804ff9b-149f-467c-8769-9cb26efb5ddc,fsjvwquudybjxjnpgkom,1775596424018000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,d755ab77-60f8-4260-a1c0-a51098f11fe1,fsjvwquudybjxjnpgkom,1775596423440000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,5e62ece8-3ff3-46d8-ab02-0d6cf46d01a3,fsjvwquudybjxjnpgkom,1775596423440000
null,LOG,connection received: host=2a05:d018:1e14:200:7c64:db82:22:43d5 port=51768,null,1ced6006-ad18-41e2-8f34-f04074507908,fsjvwquudybjxjnpgkom,1775596423330000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,179dca66-9953-45f1-9e59-86d0395d9b3f,fsjvwquudybjxjnpgkom,1775596412358000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,738de857-a10e-4d76-9b1f-26faddedee44,fsjvwquudybjxjnpgkom,1775596412358000
null,LOG,connection received: host=::1 port=13379,null,4150cd00-85c4-40e9-9089-8abe29ffdee7,fsjvwquudybjxjnpgkom,1775596412357000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9942a8e3-45ec-4e9c-8e5e-3e413c411e3a,fsjvwquudybjxjnpgkom,1775596405907000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,598f9e58-888c-41c7-bb36-f2216ab441f7,fsjvwquudybjxjnpgkom,1775596405907000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,0ade35c8-e13f-4d28-8b43-6d97aace4031,fsjvwquudybjxjnpgkom,1775596404940000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,6045f70f-7c78-4a3d-868e-82c0bda2d50b,fsjvwquudybjxjnpgkom,1775596404940000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,5bcf3d13-e6b0-4036-a2f8-2dd01e7984b8,fsjvwquudybjxjnpgkom,1775596404940000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d9fe8a9a-11c6-4b17-b287-0ef6abb31dbe,fsjvwquudybjxjnpgkom,1775596404940000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,1e20f924-df65-4cf5-b0e1-1310154ffd0a,fsjvwquudybjxjnpgkom,1775596403844000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,eebcfa6b-0f79-4945-8ca7-cfb29284cacd,fsjvwquudybjxjnpgkom,1775596403844000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,58a01d02-9ad6-4ac5-aeba-c58b0e6d09d8,fsjvwquudybjxjnpgkom,1775596403836000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,2d9ee9e6-ec2e-4570-aa4c-6ec5b8b185e4,fsjvwquudybjxjnpgkom,1775596403836000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=mgmt-api SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,f5880ca6-be66-4ba9-a9e7-6dd65ba8e080,fsjvwquudybjxjnpgkom,1775596403737000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,40aa1cd5-4630-4e43-a50a-ec1f1d8579e9,fsjvwquudybjxjnpgkom,1775596403737000
