"CÓDIGO CULTIVO","SEM","FECHA","PRODUCTO","VARIEDAD","FINCA","Sector","Semillero","BANDEJAS","MARCO","SUPERFICIE","Escandallo","Nº Plantas","LOTE","NºAlbarán","MUNICIPIO","POLIGONO","PARCELA","RECINTO","PRODUCTOR","TIPO","CICLO TEORICO","CICLO REAL","REND. TEORICO","REND.REAL","PREVISION RECOLECCION","RECO. REAL","DIFERENCIA"," 1ª OPORTUNIDAD COSECHA"," SEM 1ª OPORTUNIDAD COSECHA","OBSERVACIONES"
1969,49,"04/12/2025","LECHUGA ROJA ECO","41-CO3771","LA BARDA","2","SEMILLEROS EL MIRADOR, S.L.",25,"(1,80x0,25)/6","0,05","288.0",7200,"103328119-103328122","263540","143","1","127 - 124","1 - 2","HORTOCOX","ECO",70,,140000,0,7000,0,-7000,"12/02/2026",7,
1970,49,"04/12/2025","LECHUGA VERDE ECO","RANDOLPH","LA BARDA","2","SEMILLEROS EL MIRADOR, S.L.",223,"(1,80x0,25)/6","0,48","288.0",64224,"103322252-103322254","263540","143","1","127 - 124","1 - 2","HORTOCOX","ECO",70,,140000,"114341,666666667",67200,54884,-12316,"12/02/2026",7,
1875,49,"05/12/2025","APIO ECO","BUFALO","LA BARDA","3","SEMILLEROS EL MIRADOR, S.L.",856,"1x0.25 DOBLE","2,95","276.0",236256,"428/06300-3A10-40625","263572","143","1","124","1 - 2 - 3 - 4","SERGIO","ECO",115,,70000,0,206500,0,-206500,"30/03/2026",14,
1974,50,"11/12/2025","BROCOLI ECO","MONRELLO","LA BARDA","23","SEMILLEROS EL MIRADOR, S.L.",82,"1X0.25","0,6","288.0",23616,"20154599","263625 - 263833",,,,,"SERGIO","CONV",90,,15000,0,9000,0,-9000,"11/03/2026",11,
1973,50,"11/12/2025","BROCOLI ECO","SERRETA","LA BARDA","23","SEMILLEROS EL MIRADOR, S.L.",44,"1X0.25","0,3","268.0",11792,"00173589","263625",,,,,"SERGIO","CONV",90,,15000,0,4500,0,-4500,"11/03/2026",11,
1899,50,"11/12/2025","BROCOLI ECO","PARTHENON","LA BARDA","22","SEMILLEROS EL MIRADOR, S.L.",435,"1X0.25","3,13","288.0",125280,"00173589","263625",,,,,"SERGIO","CONV",90,,15000,0,46950,0,-46950,"11/03/2026",11,
1809,50,"11/12/2025","BROCOLI ECO","PARTHENON","LA BARDA","23","SEMILLEROS EL MIRADOR, S.L.",65,"1X0.25","0,42","260.0",16900,"00173589","263625",,,,,"SERGIO","CONV",90,,15000,0,6300,0,-6300,"11/03/2026",11,
1830,50,"12/12/2025","BROCOLI ECO","MONRELLO","LA NUEVA II","9","SEMILLEROS EL MIRADOR, S.L.",134,"1x0,50 DOBLE","0,93","282.0 - 288.0",37962,"20154599","263873",,,,,"CAROLINA","ECO",90,,15000,0,13950,0,-13950,"12/03/2026",11,
1649,50,"12/12/2025","BROCOLI ECO","MONRELLO","LA NUEVA II","8","SEMILLEROS EL MIRADOR, S.L.",142,"1x0,50 DOBLE",1,"288.0 - 282.0",40506,"19181999 - 20154599","263873",,,,,"CAROLINA","ECO",90,,15000,0,15000,0,-15000,"12/03/2026",11,
1887,52,"23/12/2025","BROCOLI ECO","MONRELLO","LA BARDA","18","SEMILLEROS EL MIRADOR, S.L.",216,"1X0.25","1,5","288.0",62208,"20154599","264080",,,,,"CAROLINA","ECO",90,,15000,0,22500,0,-22500,"23/03/2026",13,
1975,52,"23/12/2025","BROCOLI ECO","SERRETA","LA BARDA","18","SEMILLEROS EL MIRADOR, S.L.",161,"1X0.25","1,09","272.0",43792,"20305714","264080",,,,,"CAROLINA","ECO",90,,15000,0,16350,0,-16350,"23/03/2026",13,
1877,52,"23/12/2025","APIO ECO","BUFALO","LA BARDA","5","SEMILLEROS EL MIRADOR, S.L.",448,"1x0.25 DOBLE","1,5","270.0",120960,"48/06300-3A10406253","264074",,,,,"HORTOCOX","ECO",115,,70000,0,105000,0,-105000,"17/04/2026",16,
1977,52,"24/12/2025","APIO ECO","BUFALO","LA BARDA","5","SEMILLEROS EL MIRADOR, S.L.",289,"1x0.25 DOBLE",1,"274.0",79186,"48/06300-3A1040-625","264096",,,,,"HORTOCOX","ECO",115,,70000,0,70000,0,-70000,"18/04/2026",16,
1832,52,"24/12/2025","BROCOLI ECO","SERRETA","LA NUEVA II","11","SEMILLEROS EL MIRADOR, S.L.",300,"1x0,50 DOBLE","2,04","272.0",81600,"20305714","264112",,,,,"CAROLINA","ECO",90,,15000,0,30600,0,-30600,"24/03/2026",13,
1976,52,"24/12/2025","BROCOLI ECO","PARTHENON","LA NUEVA II","10","SEMILLEROS EL MIRADOR, S.L.",155,"1x0,50 DOBLE","1,08","280.0",43400,"00173589","264112",,,,,"CAROLINA","ECO",90,,15000,0,16200,0,-16200,"24/03/2026",13,
1831,52,"24/12/2025","BROCOLI ECO","SERRETA","LA NUEVA II","10","SEMILLEROS EL MIRADOR, S.L.",41,"1x0,50 DOBLE","0,28","272.0",11152,"20305714","264112",,,,,"CAROLINA","ECO",90,,15000,0,4200,0,-4200,"24/03/2026",13,
1978,1,"03/01/2026","APIO ECO","BUFALO","LA BARDA","5","SEMILLEROS EL MIRADOR, S.L.",275,"1x0.25 DOBLE","0,94","274.0",75350,"428/06300-3A1040625","264235",,,,,"HORTOCOX","ECO",115,,70000,0,65800,0,-65800,"28/04/2026",18,
1886,3,"16/01/2026","BROCOLI ECO","PARTHENON","LA BARDA","17","SEMILLEROS EL MIRADOR, S.L.",418,"1X0.25","2,88","280.0 - 274.0",115738,"00173589 - 00176115","264467 - 00176115",,,,,"SERGIO","ECO",90,,15000,0,43200,0,-43200,"16/04/2026",16,
1882,3,"16/01/2026","APIO ECO","BUFALO","LA BARDA","11","SEMILLEROS EL MIRADOR, S.L.",510,"1x0.25 DOBLE","1,8","276.0 - 286.0",144300,"428/06300-3A1040625 - 428/06300-31040825/4","264452",,,,,"HORTOCOX","ECO",110,,70000,0,126000,0,-126000,"06/05/2026",19,
1852,3,"17/01/2026","BROCOLI ECO","PARTHENON","LA BARDA","19","SEMILLEROS EL MIRADOR, S.L.",143,"1X0.25","0,98","274.0",39182,"00176115","264467",,,,,"CAROLINA","ECO",90,,15000,0,14700,0,-14700,"17/04/2026",16,
1994,3,"17/01/2026","BROCOLI ECO","SERRETA","LA BARDA","19","SEMILLEROS EL MIRADOR, S.L.",103,"1X0.25","0,7","272.0 - 270.0",27956,"20305714","264498",,,,,"SERGIO","ECO",90,,15000,0,10500,0,-10500,"17/04/2026",16,
1996,3,"17/01/2026","LECHUGA ROJA ECO","41-CO3771","LA BARDA","2","SEMILLEROS EL MIRADOR, S.L.",25,"(1,80x0,25)/6","0,05","288.0",7200,"103328119-103328122","264489",,,,,"HORTOCOX","ECO",70,,135000,0,6750,0,-6750,"28/03/2026",13,
1997,3,"17/01/2026","LECHUGA VERDE ECO","XIMENES","LA BARDA","2","SEMILLEROS EL MIRADOR, S.L.",83,"(1,80x0,25)/6","0,18","288.0",23904,"6872409","264489",,,,,"HORTOCOX","ECO",70,,135000,0,24300,0,-24300,"28/03/2026",13,
1995,3,"17/01/2026","APIO ECO","BUFALO","LA BARDA","11","SEMILLEROS EL MIRADOR, S.L.",386,"1x0.25 DOBLE","1,39","286.0 - 288.0",111012,"428/06300-31040825/A - 428106300-3104082514","264452 - 264487 - 264489",,,,,"HORTOCOX","ECO",110,,70000,0,97300,0,-97300,"07/05/2026",19,
1998,4,"19/01/2026","BROCOLI ECO","TRITON","AGRICOLA GOMEZ RAMIREZ",,"SEMILLEROS EL MIRADOR, S.L.",1150,"1X0.25","8,28","288.0",331200,"00173883","264516",,,,,,"ECO",90,,15000,0,124200,0,-124200,"19/04/2026",16,
1999,4,"20/01/2026","BROCOLI ECO","SERRETA","LA BARDA","19","SEMILLEROS EL MIRADOR, S.L.",18,"1X0.25","0,12","270.0",4860,"20305714","264498",,,,,"CAROLINA","ECO",90,,15000,0,1800,0,-1800,"20/04/2026",17,
1888,4,"21/01/2026","LECHUGA VERDE ECO","XIMENES","LA BARDA","20","SEMILLEROS EL MIRADOR, S.L.",564,"(1,80x0,25)/6","1,21","288.0",162432,"6872409","264489 - 264596",,,,,"SERGIO","ECO",70,,135000,0,163350,0,-163350,"01/04/2026",14,
2000,4,"21/01/2026","LECHUGA ROJA ECO","41-CO3771","LA BARDA","20","SEMILLEROS EL MIRADOR, S.L.",25,"(1,80x0,25)/6","0,05","288.0",7200,"103328119-103328122","264489",,,,,"SERGIO","ECO",70,,135555,0,"6777,75",0,"-6777,75","01/04/2026",14,
1990,5,"30/01/2026","BROCOLI ECO","SERRETA","LA BARDA","10","SEMILLEROS EL MIRADOR, S.L.",415,"1X0.25","2,8","270.0",112050,"20305714","264834",,,,,"HORTOCOX","ECO",90,,15000,0,42000,0,-42000,"30/04/2026",18,
1652,5,"30/01/2026","BROCOLI ECO","TRITON","EL MAYORAZGO","6","SEMILLEROS EL MIRADOR, S.L.",499,"1x0,50 DOBLE","3,6","288.0",143712,"00173983","264828",,,,,"CAROLINA","ECO",90,,15000,0,54000,0,-54000,"30/04/2026",18,
2002,5,"31/01/2026","BROCOLI ECO","TRITON","AGRICOLA GOMEZ RAMIREZ",,"SEMILLEROS EL MIRADOR, S.L.",1000,"1X0.25","7,2","288.0",288000,"00173983 - 00154074",,,,,,,"ECO",90,,15000,0,108000,0,-108000,"01/05/2026",18,
2003,6,"07/02/2026","BROCOLI ECO","TRITON","LA BARDA","9","SEMILLEROS EL MIRADOR, S.L.",308,"1X0.25","2,21","288.0",88704,"00173983 - 00164074","265006",,,,,"HORTOCOX","ECO",90,,15000,0,33150,0,-33150,"08/05/2026",19,
2004,6,"07/02/2026","APIO ECO","BUFALO","LA BARDA","4","SEMILLEROS EL MIRADOR, S.L.",455,"1x0.25 DOBLE","1,63","288.0",131040,"428106300-3104082514 - 428/06300-3104082542","264999",,,,,"HORTOCOX","ECO",105,,70000,0,114100,0,-114100,"23/05/2026",21,
1991,6,"07/02/2026","BROCOLI ECO","SERRETA","LA BARDA","9","SEMILLEROS EL MIRADOR, S.L.",107,"1X0.25","0,72","270.0",28890,"20305714","265006",,,,,"HORTOCOX","ECO",90,,15000,0,10800,0,-10800,"08/05/2026",19,
