"CÓDIGO CULTIVO","SEM","FECHA","PRODUCTO","VARIEDAD","FINCA","Sector","Semillero","BANDEJAS","MARCO","SUPERFICIE","Escandallo","Nº Plantas","LOTE","NºAlbarán","MUNICIPIO","POLIGONO","PARCELA","RECINTO","PRODUCTOR","TIPO","CICLO TEORICO","CICLO REAL","REND. TEORICO","REND.REAL","PREVISION RECOLECCION","RECO. REAL","DIFERENCIA"," 1ª OPORTUNIDAD COSECHA"," SEM 1ª OPORTUNIDAD COSECHA","OBSERVACIONES"
2005,7,"13/02/2026","BROCOLI ECO","NAXOS","LA BARDA","4","SEMILLEROS EL MIRADOR, S.L.",192,"1X0.25","1,37","286.0 - 288.0",54992,"00182515","265166 - 265302",,,,,"HORTOCOX","ECO",90,,15000,0,20550,0,-20550,"14/05/2026",20,
2019,8,"17/02/2026","BROCOLI ECO","TRITON","AGRICOLA GOMEZ RAMIREZ",,"SEMILLEROS EL MIRADOR, S.L.",483,"1X0.25","3,5","288.0",139104,"00173983","265211",,,,,,"ECO",90,,15000,0,52500,0,-52500,"18/05/2026",21,
2020,8,"17/02/2026","BROCOLI ECO","NAXOS","AGRICOLA GOMEZ RAMIREZ",,"SEMILLEROS EL MIRADOR, S.L.",508,"1X0.25","3,6","288.0",146304,"00182515","265211",,,,,,"ECO",90,,15000,0,54000,0,-54000,"18/05/2026",21,
1993,8,"20/02/2026","LECHUGA VERDE ECO","RALSTON","LA BARDA","8B","SEMILLEROS EL MIRADOR, S.L.",67,"(1,80x0,25)/6","0,14","288.0",19296,"103149936-103149940","265302",,,,,"HORTOCOX","ECO",70,,135000,0,18900,0,-18900,"01/05/2026",18,
2018,8,"20/02/2026","LECHUGA VERDE ECO","RAWONDER","LA BARDA","8B","SEMILLEROS EL MIRADOR, S.L.",136,"(1,80x0,25)/6","0,29","288.0",39168,"103273253-103273256","265302",,,,,"HORTOCOX","ECO",70,,135000,0,39150,0,-39150,"01/05/2026",18,
2015,8,"20/02/2026","BROCOLI ECO","NAXOS","LA BARDA","20","SEMILLEROS EL MIRADOR, S.L.",237,"1X0.25","1,7","286.0",67782,"00182515","265166",,,,,"SERGIO","CONV",90,,15000,0,25500,0,-25500,"21/05/2026",21,
2029,10,"05/03/2026","LECHUGA VERDE ECO","RAWONDER","LA BARDA","8B","SEMILLEROS EL MIRADOR, S.L.",136,"(1,80x0,25)/6","0,29","288.0",39168,"103273253-103273256","265654",,,,,"HORTOCOX","ECO",70,,135000,0,39150,0,-39150,"14/05/2026",20,
2006,11,"13/03/2026","CALABAZA HOKKAIDO","ORANGE SUMMER","LA BARDA","25","SEMILLEROS EL MIRADOR, S.L.",155,"2X0.60","2,75","148.0",22940,"6607032","265813",,,,,"SERGIO","CONV",70,,20000,0,55000,0,-55000,"22/05/2026",21,
2007,12,"16/03/2026","CALABAZA HOKKAIDO","ORANGE SUMMER","LA BARDA","26","SEMILLEROS EL MIRADOR, S.L.",156,"2X0.60","2,77","148.0",23088,"6607032","265851",,,,,"SERGIO","CONV",70,,20000,0,55400,0,-55400,"25/05/2026",22,
2022,12,"17/03/2026","CALABAZA HOKKAIDO","ORANGE SUMMER","LA BARDA","6","SEMILLEROS EL MIRADOR, S.L.",160,"2X0.60","2,84","148.0",23680,"6607032 - 6713510","265881",,,,,"HORTOCOX","ECO",70,,20000,0,56800,0,-56800,"26/05/2026",22,
2030,12,"18/03/2026","LECHUGA VERDE ECO","RAWONDER","LA BARDA","8B","SEMILLEROS EL MIRADOR, S.L.",141,"(1,80x0,25)/6","0,3","288.0",40608,"103273253-103273256 - 103249737-103249741","265910",,,,,"HORTOCOX","ECO",70,,135000,0,40500,0,-40500,"27/05/2026",22,
2031,13,"23/03/2026","CALABAZA HOKKAIDO","ORANGE SUMMER","LA BARDA","7","SEMILLEROS EL MIRADOR, S.L.",144,"2X0.60","2,6","148.0",21312,"6713510","265979",,,,,"HORTOCOX","ECO",70,,20000,0,52000,0,-52000,"01/06/2026",23,
